;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
416;;Gertrudis;3.260;;Frederikus;2.955
417;;Benthe;3.247;;Jip;2.953
418;;Gesina;3.244;;Said;2.952
419;;Marjon;3.240;;Ismail;2.951
420;;Khadija;3.229;;Jort;2.939
421;;Debora;3.228;;Aloysius;2.925
422;;Désirée;3.222;;Xander;2.924
423;;Floortje;3.218;;Marnix;2.915
424;;Lonneke;3.205;;Fedde;2.912
425;;Dewi;3.198;;Aron;2.906
426;;Jacomina;3.193;;Jay;2.854
427;;Joëlle;3.185;;Jurjen;2.832
428;;Ineke;3.182;;Angelo;2.815
429;;Ay?e;3.181;;Yusuf;2.814
430;;Suzan;3.179;;Rowan;2.807
431;;Pietje;3.179;;Pierre;2.805
432;;Rita;3.167;;Hassan;2.797
433;;Minke;3.156;;Eelco;2.790
434;;Willemijntje;3.147;;Muhammed;2.785
435;;Heidi;3.147;;Davey;2.785
436;;Liz;3.143;;Alphonsus;2.764
437;;Albertha;3.140;;Tijs;2.761
438;;Suze;3.126;;Valentijn;2.755
439;;Selma;3.122;;Luke;2.745
440;;Esmeralda;3.120;;Raoul;2.744
441;;Quinty;3.108;;Diederik;2.740
442;;Lauren;3.081;;Sil;2.731
443;;Mara;3.074;;Rayan;2.716
444;;Martje;3.072;;Bilal;2.711
445;;Fay;3.062;;Lennart;2.710
446;;Claire;3.061;;Florian;2.709
447;;Manuela;3.060;;Hasan;2.707
448;;Peggy;3.050;;Manuel;2.700
449;;Ramona;3.029;;Kenneth;2.685
450;;Juliette;3.027;;Dex;2.658
451;;Hiltje;3.020;;Iwan;2.650
452;;Adriaantje;3.015;;Rolf;2.643
453;;Celine;3.008;;Hamza;2.637
454;;Kaylee;2.990;;Bernhard;2.632
455;;Evertje;2.988;;Lambert;2.629
456;;Thea;2.971;;Mathieu;2.622
457;;Lamberta;2.961;;Henry;2.619
458;;Sofia;2.959;;Gino;2.618
459;;Madelon;2.949;;Wilco;2.611
460;;Kayleigh;2.941;;Ivan;2.606
461;;Megan;2.939;;Werner;2.599
462;;Geertruda;2.938;;Stefanus;2.587
463;;Guusje;2.935;;Randy;2.568
464;;Annemiek;2.928;;Morris;2.567
465;;Gijsbertha;2.916;;Quinn;2.553
466;;Jitske;2.902;;Roelf;2.534
467;;Gerharda;2.892;;Everardus;2.532
468;;Stella;2.887;;Philippus;2.530
469;;Jentje;2.877;;Khalid;2.524
470;;Joy;2.871;;Lex;2.523
471;;Heleen;2.870;;Aaron;2.519
472;;Marrigje;2.855;;Andy;2.513
473;;Mina;2.847;;Yassine;2.511
474;;Soraya;2.835;;Nils;2.511
475;;Ester;2.829;;Jari;2.504
476;;Brigitta;2.826;;Ralf;2.501
477;;Aagje;2.820;;Tommy;2.495
478;;Dana;2.818;;Murat;2.494
479;;Hatice;2.814;;François;2.494
480;;Antoinetta;2.806;;Loek;2.494
481;;Albertje;2.792;;Roberto;2.484
482;;Aniek;2.791;;Wijnand;2.469
483;;Janne;2.778;;Hein;2.452
484;;Maxime;2.770;;Hessel;2.437
485;;Angélique;2.768;;Ivar;2.427
486;;Leonarda;2.735;;Remy;2.427
487;;Sandy;2.722;;Brent;2.404
488;;Kitty;2.703;;Bauke;2.395
489;;Kristel;2.700;;Nigel;2.385
490;;Reina;2.692;;Meindert;2.374
491;;Liza;2.690;;Krijn;2.373
492;;Lana;2.686;;Coenraad;2.370
493;;Arnolda;2.684;;Micha;2.366
494;;Elvira;2.675;;Ömer;2.355
495;;Leentje;2.673;;Jonas;2.326
496;;Natalie;2.652;;Zakaria;2.325
497;;Alicia;2.648;;Eduardus;2.308
498;;Gijsberta;2.632;;Folkert;2.297
499;;Beatrix;2.625;;Sietse;2.287
500;;Gabriëlle;2.616;;Samir;2.279
501;;Elif;2.604;;Wolter;2.279
502;;Desirée;2.604;;Siebe;2.265
503;;Isis;2.602;;Amir;2.263
504;;Gemma;2.601;;Léon;2.261
505;;Lise;2.586;;Ricky;2.241
506;;Madelief;2.572;;Delano;2.238
507;;Gerrigje;2.571;;Sebastian;2.235
508;;Henny;2.571;;Carel;2.226
509;;Malika;2.560;;Kyan;2.223
510;;Nikita;2.551;;Collin;2.220
511;;Merle;2.549;;Ayoub;2.196
512;;Ina;2.545;;Maxim;2.186
513;;Zwaantje;2.527;;Fokke;2.175
514;;Babette;2.523;;Vincentius;2.172
515;;Emine;2.508;;Jop;2.153
516;;Jeanine;2.507;;Elias;2.148
517;;Cheyenne;2.502;;Duncan;2.140
518;;Jamie;2.497;;Brandon;2.138
519;;Elke;2.494;;Rudolph;2.127
520;;Lola;2.493;;Rijk;2.121
521;;Nicky;2.492;;Hindrik;2.105
522;;Juliana;2.482;;Jaimy;2.094
523;;Harmke;2.469;;Jamal;2.092
524;;Belinda;2.454;;Keano;2.064
525;;Moniek;2.440;;Johann;2.058
526;;Noëlle;2.438;;Dimitri;2.056
527;;Trientje;2.435;;Willy;2.047
528;;Jet;2.433;;Willibrordus;2.047
529;;Cato;2.430;;Clemens;2.047
530;;Klasina;2.429;;Robbie;2.035
531;;Amina;2.412;;Dylano;2.018
532;;Roxanne;2.410;;Tjerk;2.017
533;;Gerrie;2.405;;Ron;2.008
534;;Mirte;2.403;;Carlos;2.001
535;;Norah;2.400;;Karim;1.998
536;;Paulien;2.393;;Hüseyin;1.986
537;;Emmy;2.392;;Jan-Willem;1.984
538;;Zeynep;2.386;;Beau;1.976
539;;Jessie;2.378;;Boy;1.976
540;;Marcella;2.370;;Franklin;1.947
541;;Geeske;2.361;;Ilias;1.936
542;;Corine;2.355;;Marcellus;1.933
543;;Sacha;2.354;;Rico;1.929
544;;Janet;2.350;;Thijn;1.928
545;;Jolien;2.350;;Antoine;1.926
546;;Helen;2.349;;Gideon;1.925
547;;Aletta;2.344;;Younes;1.920
548;;Helga;2.339;;Donny;1.916
549;;Lindsey;2.331;;Nino;1.913
550;;Akke;2.321;;Jacco;1.908
551;;Dorien;2.320;;Eugène;1.889
552;;Rinske;2.305;;Freerk;1.886
553;;Ursula;2.304;;Stanley;1.880
554;;Nanda;2.302;;Emre;1.869
555;;Marissa;2.294;;Kaj;1.861
556;;Margreet;2.289;;Edgar;1.860
557;;Donna;2.288;;Robby;1.856
558;;Christa;2.273;;Xavi;1.856
559;;Corina;2.259;;Tomas;1.848
560;;Jantine;2.254;;Engelbertus;1.842
561;;Pleun;2.253;;Giel;1.842
562;;Veronique;2.253;;Rein;1.836
563;;Else;2.251;;Lieuwe;1.828
564;;Annechien;2.250;;Christopher;1.827
565;;Yasmine;2.249;;Koenraad;1.823
566;;Maryam;2.220;;Marlon;1.820
567;;Fabiënne;2.215;;Herbert;1.813
568;;Amira;2.213;;Osman;1.805
569;;Dagmar;2.196;;Senna;1.802
570;;Karima;2.190;;Mitch;1.797
571;;Gwen;2.186;;Wietse;1.795
